Napa Cabbage With Pressed Bean Curd (Liángbàn Dòugān Báicàixīn),Appetizers / Starters;Chinese;Vegan;Vegetarian,Napa Cabbage;Pressed Bean Curd;Toasted Sesame Seeds;Toasted Sesame Oil;Rice Vinegar;Jalapeño Chiles;Cilantro;Green Onions
Soybean Pods (Shāo Máodòu),Appetizers / Starters;Chinese;Vegan;Vegetarian,Frozen Soybeans;Sichuan Peppercorns;Five-Spice Powder
Spinach And Peanuts (Bōcài Huāshēng),Appetizers / Starters;Chinese;Vegan;Vegetarian,Spinach;Garlic;Sea Salt;Chinese Black Vinegar;Dark Brown Sugar;Dark Soy Sauce;Toasted Sesame Oil;Vegetable Oil;Raw Peanuts
Manchurian Chicken Salad (Jīsī Lāpī),Salads;Dressings & Marinades;Appetizers / Starters;Chinese,Mung Bean Sheets;Toasted Sesame Oil;Cooked Chicken Meat;Persian Cucumbers;Fresh Ginger;Green Onions;Toasted Sesame Seeds;Chinese Black Vinegar;Soy Sauce;Mustard
Consort'S Chicken Wings (Guīfēi Jīchì),Sauces For Poultry;Appetizers / Starters;Chinese,Chicken Wings;Soy Sauce;Peanut Oil;Leeks;Fresh Ginger;Shaoxing Rice Wine;Rock Sugar
Cold Garlic Chicken (Shāndōng Shāojī),Appetizers / Starters;Chinese,Chicken Thighs;Soy Sauce;Sichuan Peppercorns;Fresh Ginger;Green Onions;Persian Cucumbers;Chinese Black Vinegar;Garlic;Toasted Sesame Oil
"Braised Beef Shank, Tendons, And Variety Meats (Lu Níujiàn, Níujīn, Níuzá)",Stews & One-Pot Meals;Appetizers / Starters;Chinese,Beef Shanks;Beef Tendons;Honeycomb Tripe;Fresh Ginger;Green Onions;Soy Sauce;Whole Star Anise;Cinnamon Sticks;Fennel Seeds;Sichuan Peppercorns;Rock Sugar;Dried Thai Chiles
Mock Shark Fin Soup (Huángmèn Sùyúchi),Soups;Chinese,Dried Scallops;Chinese Ham;Chicken Backs;Whole Duck;Fresh Ginger;Green Onions;Chicken Breasts;Shaoxing Rice Wine;Frozen Vegetarian Shark Fin
Clear Beef Soup With Chinese Herbs And Radishes (Qīngdùn Níuròu Luóbo Tāng),Soups;Chinese,Beef Shanks;Beef Tendons;Honeycomb Tripe;Leeks;Fresh Ginger;Rice Wine;Bay Leaves;Dried Licorice Root;Whole Star Anise;Cinnamon Sticks;Sichuan Peppercorns;Black Peppercorns;Chinese Radishes
Russian Soup (Luósòng Tāng),Soups;Chinese;Russian,Peanut Oil;Fresh Ginger;Oxtail;Onions;Garlic;Bay Leaves;Rice Wine;Soy Sauce;Tomato Ketchup;Potatoes;Carrots;Canned Tomatoes
